close,start,high,low,volume,transactionPrice,capitalization
321000,323500,323500,319500,4718,1518009500,1.95253E+12
323000,326500,327000,322000,5083,1644095500,1.96469E+12
326500,323500,326500,320000,22284,7241585000,1.98598E+12
323500,324000,324000,316500,14038,4507986000,1.96773E+12
321500,324000,324000,319000,14636,4712144000,1.95557E+12
322000,320000,322000,317000,15629,5001264500,1.95861E+12
320500,320000,321000,316500,18622,5938332000,1.94949E+12
316500,317500,321500,314500,15772,5008490000,1.92516E+12
317000,320000,322500,313500,24393,7715225000,1.9282E+12
318000,305000,319500,301500,50286,15796399000,1.93428E+12
303500,309500,310000,299000,33442,10164853000,1.84608E+12
308000,300500,311000,300000,30528,9405642500,1.87345E+12
300500,303000,304000,298500,13488,4050771500,1.82783E+12
301500,303500,304000,298000,22781,6829468500,1.83392E+12
302000,309500,309500,300500,16757,5105031000,1.83696E+12
308000,305000,309000,303500,14205,4346711500,1.87345E+12
305000,305000,306500,304500,12655,3862478000,1.85521E+12
306500,302000,308500,302000,12631,3858477000,1.86433E+12
307000,302000,307500,300000,10661,3255001500,1.86737E+12
302000,302500,304000,298000,8340,2514220500,1.83696E+12
302500,302500,304500,300500,7870,2385357500,1.84E+12
301000,301000,305500,298500,11626,3505286500,1.83088E+12
299500,299000,304000,296500,7534,2260332500,1.82175E+12
299000,297000,299000,293500,5651,1679196000,1.81871E+12
296000,297000,297000,293500,6586,1945986500,1.80046E+12
294500,289000,297000,289000,12205,3585410000,1.79134E+12
289000,290500,293500,288500,19432,5652825000,1.75788E+12
292000,296000,296000,289500,10328,3015933000,1.77613E+12
295000,297000,297500,291000,10265,3011616075,1.79438E+12
295000,294000,295500,290000,10297,3021082500,1.79438E+12
294000,285500,294500,285500,13485,3927203500,1.7883E+12
284000,289000,290500,284000,12124,3474297500,1.72747E+12
287000,294000,294000,286500,11465,3314245500,1.74572E+12
294000,295000,298000,291000,13510,3962281000,1.7883E+12
296000,294000,298000,294000,12422,3668258000,1.80046E+12
295500,299000,301000,294000,17761,5272013500,1.79742E+12
298000,296500,300500,291500,18285,5411002500,1.81263E+12
297500,297000,300000,292500,18692,5528068000,1.80959E+12
298000,307500,308000,297500,20901,6292151500,1.81263E+12
307500,308000,312000,300000,25574,7780129000,1.87041E+12
307000,303000,310000,302500,24344,7451662000,1.86737E+12
308500,305000,309500,301500,32915,10112319000,1.8765E+12
304000,304000,306000,298000,24506,7403878500,1.84912E+12
303500,308500,308500,298500,10825,3264316000,1.84608E+12
304000,299500,309000,298500,19849,6049555500,1.84912E+12
299500,300500,306000,299500,18804,5695653500,1.82175E+12
304500,296500,307000,289000,26450,7855169000,1.85216E+12
292500,298000,299500,291500,8116,2388065500,1.77917E+12
295500,289000,299000,287500,44462,13130514500,1.79742E+12
289000,289500,294500,288000,15422,4496565000,1.75788E+12
287500,289000,290000,285500,15871,4566707500,1.74876E+12
291000,289500,295000,289000,14969,4366986000,1.77005E+12
289000,292500,293500,287000,16983,4910073500,1.75788E+12
289500,293000,293000,287000,16736,4852765000,1.76092E+12
294500,293000,296500,291500,8965,2632127000,1.79134E+12
294000,303000,303000,292000,14299,4207765500,1.7883E+12
299000,300000,306000,297500,13417,4036023500,1.81871E+12
298000,300000,304000,297000,14522,4352285000,1.81263E+12
300000,300000,305000,300000,15194,4592130500,1.82479E+12
302500,307500,309000,301000,13561,4120435000,1.84E+12
309000,300000,310000,296500,31251,9551075000,1.87954E+12
303500,304000,307500,301000,17367,5264880500,1.84608E+12
307000,312000,312000,302500,26069,8021352500,1.86737E+12
311500,303000,319000,303000,107516,33604576500,1.89474E+12
293500,300500,302000,289500,23015,6805262500,1.78526E+12
301000,298000,301500,295000,15096,4531474500,1.83088E+12
300000,295000,301000,294500,15591,4672652500,1.82479E+12
296500,291500,299000,288500,23055,6827668500,1.8035E+12
290500,299500,299500,283000,55410,16007987000,1.76701E+12
299500,295500,302500,294000,33303,9969182500,1.82175E+12
294000,297000,298000,291000,14871,4361194000,1.7883E+12
298000,298000,299500,293500,15952,4727229000,1.81263E+12
297000,300000,304500,295000,25550,7631682000,1.80654E+12
298500,292500,307500,291500,54726,16434968000,1.81567E+12
294000,283500,295000,283000,52522,15276737500,1.7883E+12
280000,279500,281500,278500,6990,1956617500,1.70314E+12
279500,284000,284000,279000,8274,2315128500,1.7001E+12
281500,280000,283500,276500,17801,5010153000,1.71226E+12
281000,271500,281500,271500,28345,7861253000,1.70922E+12
273500,277500,278000,272000,32610,8933970500,1.6636E+12
279500,280500,280500,276000,21450,5963113500,1.7001E+12
278500,282000,284000,278000,10126,2831243500,1.69402E+12
281500,282000,283000,280500,8545,2409024000,1.71226E+12
281500,279500,282000,279500,9329,2625264500,1.71226E+12
281000,278500,281000,277500,7987,2232824000,1.70922E+12
277000,278500,280000,277000,11128,3093367000,1.68489E+12
277500,277000,279000,276000,11215,3115863500,1.68793E+12
277500,283500,284000,276500,30147,8400572000,1.68793E+12
283000,279500,284000,277500,15218,4293634000,1.72139E+12
279000,281500,282500,278000,14217,3975883500,1.69706E+12
280500,283000,284000,277500,18808,5285751000,1.70618E+12
280500,281500,286500,278000,23636,6688468500,1.70618E+12
283000,283500,291500,280000,29557,8426948500,1.72139E+12
281500,281500,284500,279000,12091,3391600500,1.71226E+12
282500,282000,284500,277000,19088,5346074500,1.71835E+12
283000,286000,287000,280500,23999,6798669000,1.72139E+12
286000,288500,289500,283500,17656,5053555500,1.73964E+12
288000,293000,295500,286500,32294,9386986000,1.7518E+12
291500,289000,291500,286000,27614,8013942500,1.77309E+12
286500,285000,291000,282000,32607,9339535000,1.74268E+12
285000,269000,285000,269000,77139,21737551000,1.73355E+12
267500,271500,272000,266500,17011,4571654500,1.62711E+12
272000,272000,274500,271500,8109,2213520000,1.65448E+12
274500,274000,275000,270500,14920,4070338500,1.66969E+12
274500,271000,276500,270500,15794,4333292000,1.66969E+12
270000,272500,274000,270000,16559,4491410000,1.64231E+12
272500,264500,276500,264500,48414,13226817000,1.65752E+12
264500,264500,267500,263500,19932,5300074500,1.60886E+12
264500,271000,271000,263000,17171,4540748000,1.60886E+12
266500,272500,272500,265000,15191,4087215000,1.62102E+12
270000,263000,272000,262500,25463,6869577500,1.64231E+12
266500,267500,272000,266000,16440,4414943000,1.62102E+12
266500,268500,274000,263500,30589,8187461500,1.62102E+12
267500,267000,267500,263500,23940,6352487500,1.62711E+12
268000,272500,273000,267000,20559,5533795000,1.63015E+12
275500,273000,275500,272000,8609,2354466500,1.67577E+12
274000,275500,275500,272000,19358,5286033500,1.66664E+12
276500,276500,277500,274000,19673,5413286000,1.68185E+12
276500,278500,279000,274000,18073,4980541000,1.68185E+12
278500,279500,280000,275500,13155,3653513000,1.69402E+12
278000,276500,278000,274500,18606,5144554000,1.69097E+12
276000,278000,278000,275000,12814,3542629500,1.67881E+12
276500,277500,278500,276000,13537,3749512000,1.68185E+12
276000,276000,277000,275000,9290,2562936500,1.67881E+12
274500,274500,276500,273000,10549,2896052000,1.66969E+12
274500,274500,277000,272500,12521,3442043500,1.66969E+12
275000,276000,277000,274500,13209,3636968000,1.67273E+12
277500,279500,279500,275500,22090,6112338000,1.68793E+12
279500,274500,280500,274500,31026,8631372000,1.7001E+12
274500,271000,275000,270500,26808,7307967500,1.66969E+12
274000,278500,279500,273500,46360,12780847500,1.66664E+12
277500,297000,297000,274500,139189,38649705000,1.68793E+12
298000,303500,304500,296500,14835,4424473500,1.81263E+12
303000,303000,303000,299500,8574,2584403500,1.84304E+12
300000,300000,303500,298500,14184,4266214000,1.82479E+12
302000,296500,305500,296500,14060,4246858500,1.83696E+12
304000,299000,304000,293000,15978,4797364500,1.84912E+12
299000,300000,301000,296000,12187,3635416500,1.81871E+12
301500,301500,302500,297500,11046,3315115500,1.83392E+12
301500,302000,303000,300000,8749,2633019500,1.83392E+12
300000,306000,306500,299000,17781,5357093500,1.82479E+12
306000,303000,306500,299000,14934,4541519500,1.86129E+12
303500,306500,308500,301500,24073,7311012000,1.84608E+12
309500,314500,314500,305500,19777,6103869000,1.88258E+12
312500,308500,316000,308500,19385,6041237500,1.90083E+12
314000,316000,317500,309000,19077,5963034500,1.90995E+12
316000,308500,326500,308500,34656,11020693500,1.92211E+12
314500,318000,321500,313000,21408,6773033500,1.91299E+12
318500,319500,321500,315000,11446,3631918500,1.93732E+12
319000,313000,325000,309500,36076,11559218000,1.94036E+12
313000,312000,315500,309500,12981,4055268500,1.90387E+12
312000,306500,313500,305000,10618,3304599500,1.89778E+12
308500,314500,314500,308000,21623,6726062000,1.8765E+12
316000,315000,320000,313000,16594,5249410500,1.92211E+12
315000,317000,317000,312500,10826,3410605000,1.91603E+12
314500,319000,319500,312000,20257,6385719500,1.91299E+12
319500,313000,322000,310000,27636,8785981000,1.9434E+12
313000,316500,317000,310500,23332,7325351000,1.90387E+12
317000,305500,319500,303500,50357,15885023000,1.9282E+12
306500,312000,315000,306000,25431,7879436000,1.86433E+12
309500,306500,311000,304500,20337,6280886500,1.88258E+12
306500,299000,308500,299000,33418,10220891500,1.86433E+12
298500,298000,304000,295000,23941,7195914000,1.81567E+12
299500,303000,304000,299000,17136,5147476500,1.82175E+12
303000,300500,304000,297500,23886,7205407500,1.84304E+12
298000,294500,298000,293500,15778,4662558000,1.81263E+12
294500,293500,295500,292000,12005,3520647000,1.79134E+12
295000,297500,298000,294500,9268,2742362000,1.79438E+12
298500,293000,298500,292000,15258,4517951500,1.81567E+12
296000,297000,299500,294000,15917,4714675000,1.80046E+12
295500,297000,297500,294000,15004,4428917500,1.79742E+12
298500,296500,298500,294000,16485,4899037000,1.81567E+12
294500,298000,298000,291500,44814,13160646500,1.79134E+12
297500,290500,301500,289500,54191,16108078000,1.80959E+12
287000,282500,287000,281000,21130,6002987000,1.74572E+12
281000,285000,286500,280500,23615,6686500000,1.70922E+12
285000,290500,291000,283500,27743,7909554500,1.73355E+12
290500,291000,294000,283500,46904,13453616500,1.76701E+12
290500,296000,297500,287500,36824,10757290000,1.76701E+12
289500,286000,290500,282500,52093,14914489500,1.76092E+12
289000,307000,307000,287000,71875,20934581000,1.75788E+12
309000,308000,310000,305000,17437,5369626500,1.87954E+12
308000,310000,310500,303500,37870,11610665500,1.87345E+12
308000,306500,310000,304000,30997,9527588000,1.87345E+12
307000,312000,312000,304000,35534,10903241000,1.86737E+12
312500,328000,331000,310500,50044,15767231500,1.90083E+12
325500,327000,329000,322500,18806,6118595000,1.9799E+12
327000,326500,330500,324000,18920,6192146500,1.98902E+12
325000,328000,328500,320500,21906,7101345500,1.97686E+12
330500,327000,331500,325500,11576,3810638000,2.01031E+12
329500,331500,335500,326000,25167,8287607000,2.00423E+12
332000,332000,336000,327000,34705,11508322500,2.01944E+12
332000,328500,334000,325000,28755,9499215500,2.01944E+12
327000,336000,338000,323000,40911,13390810000,1.98902E+12
335500,333000,339500,331000,27582,9257729000,2.04073E+12
334500,333500,346000,333000,38119,12870594000,2.03464E+12
339000,341500,345000,336500,25035,8524633000,2.06202E+12
341500,340000,344500,335500,32373,11062857500,2.07722E+12
339000,343000,346500,337500,40270,13752327000,2.06202E+12
341500,336500,349000,336000,58754,20230270500,2.07722E+12
341000,327000,341000,326500,86359,29056571500,2.07418E+12
324500,325500,329000,321000,26428,8633548500,1.97382E+12
323000,314500,327000,312000,39012,12510907000,1.96469E+12
315000,324500,324500,311500,44373,14044915500,1.91603E+12
323000,324000,328500,321000,28375,9202220000,1.96469E+12
324000,327000,331500,321000,70592,23016325000,1.97078E+12
327000,311000,328500,310500,103380,33460183000,1.98902E+12
308500,308000,314500,307500,12402,3841956000,1.8765E+12
312000,313000,313500,306000,11132,3455409500,1.89778E+12
310500,310000,314000,309000,14574,4543505500,1.88866E+12
311500,315000,317000,309500,12849,4009730000,1.89474E+12
314500,314500,319000,314000,9764,3086780000,1.91299E+12
315000,319500,321500,315000,11067,3525123500,1.91603E+12
319000,322500,323000,317000,11313,3615285500,1.94036E+12
321500,319000,322000,317500,14410,4615147000,1.95557E+12
316500,321000,325000,316500,22663,7266265500,1.92516E+12
323000,322500,327500,319000,22967,7416773500,1.96469E+12
322000,314000,324000,313000,32744,10564381500,1.95861E+12
317500,306000,320000,305500,34397,10851304000,1.93124E+12
309500,309500,312000,304500,18811,5802179500,1.88258E+12
311500,314000,314500,305500,29322,9106939000,1.89474E+12
316000,318500,320000,313000,16941,5365164500,1.92211E+12
318500,321000,321000,317000,12428,3963137500,1.93732E+12
321000,316000,322000,314500,17690,5660538500,1.95253E+12
320000,318500,321000,316500,20304,6492128000,1.94645E+12
318500,316500,320000,316000,30259,9651867500,1.93732E+12
315500,314500,317500,312000,14107,4443561500,1.91907E+12
314500,315500,315500,312000,11360,3559632000,1.91299E+12
312500,314500,316500,310500,14946,4691247000,1.90083E+12
316500,316500,318000,314000,18288,5793647500,1.92516E+12
315000,314000,318000,310000,26738,8433740500,1.91603E+12
316500,313000,317000,310500,28148,8878095000,1.92516E+12
313000,313000,316000,308000,26337,8197844000,1.90387E+12
312000,313000,320000,312000,38792,12249181500,1.89778E+12
313000,304000,318500,302500,94437,29583345500,1.90387E+12
303500,291000,305500,291000,67412,20319563000,1.84608E+12
291000,291500,295000,288500,20766,6067798500,1.77005E+12
291500,291500,293000,288000,18687,5422046000,1.77309E+12
291000,293500,295500,290500,15084,4416461000,1.77005E+12
294500,290000,295500,286000,29290,8587700000,1.79134E+12
288500,285500,289500,283500,11345,3260396500,1.75484E+12
286000,287000,288000,284000,12809,3665548000,1.73964E+12
286000,277000,288000,276500,20818,5920501500,1.73964E+12
279500,276000,281500,270500,17056,4735273500,1.7001E+12
273500,283500,286000,273500,20683,5751375500,1.6636E+12
284500,283000,286000,280000,12455,3540375000,1.73051E+12
286500,289500,291500,281000,15592,4468183000,1.74268E+12
292000,290500,293000,289000,10913,3187268000,1.77613E+12
