date,close,start,high,low,volume,transactionPrice,capitalization
2022-11-22,60600,60900,61200,60300,9411289,571461000000.0,361769000000000.0
2022-11-21,61400,61400,61800,60800,9378097,573783000000.0,366545000000000.0
2022-11-18,61800,61800,62400,61400,12236503,757455000000.0,368933000000000.0
2022-11-17,61400,62000,62000,61300,13298296,819119000000.0,366545000000000.0
2022-11-16,62700,62400,62700,61700,12909260,804220000000.0,374305000000000.0
2022-11-15,62400,62200,62500,61600,12310986,764117000000.0,372514000000000.0
2022-11-14,61900,62900,62900,61700,15973416,993352000000.0,369530000000000.0
2022-11-11,62900,63100,63200,62300,20037163,1257130000000.0,375499000000000.0
2022-11-10,60400,61400,61500,60400,21087633,1283010000000.0,360575000000000.0
2022-11-09,62000,62000,62200,61300,14045592,869645000000.0,370127000000000.0
2022-11-08,61800,60500,61900,60500,18273898,1123980000000.0,368933000000000.0
2022-11-07,60200,59700,60300,59400,12437246,747350000000.0,359381000000000.0
2022-11-04,59400,59100,59500,58400,12445841,734526000000.0,354605000000000.0
2022-11-03,59200,58600,59800,58100,17492162,1029200000000.0,353411000000000.0
2022-11-02,59600,59700,60000,59300,13202919,787058000000.0,355799000000000.0
2022-11-01,60000,59900,60300,59500,17201647,1030380000000.0,358187000000000.0
2022-10-31,59400,58100,59900,58000,18999514,1126470000000.0,354605000000000.0
2022-10-28,57300,58900,59200,57200,20924937,1213290000000.0,342069000000000.0
2022-10-27,59500,59700,60100,58900,21756712,1296030000000.0,355202000000000.0
2022-10-26,59400,58000,59600,57700,20824967,1227080000000.0,354605000000000.0
2022-10-25,57700,57000,58600,57000,17405678,1009510000000.0,344456000000000.0
2022-10-24,57500,57000,57500,56700,16944503,968892000000.0,343262000000000.0
2022-10-21,55900,55100,56300,55100,11456060,640343000000.0,333711000000000.0
2022-10-20,55500,55200,56000,55100,17107653,949265000000.0,331323000000000.0
2022-10-19,55800,56700,56900,55700,12660652,710948000000.0,333114000000000.0
2022-10-18,56500,56700,57100,55800,14820702,835745000000.0,337293000000000.0
2022-10-17,56600,55800,57000,55700,13641878,769638000000.0,337890000000000.0
2022-10-14,56300,56200,56500,55800,12924326,726963000000.0,336099000000000.0
2022-10-13,55200,55400,56100,55200,13784602,765435000000.0,329532000000000.0
2022-10-12,55800,55700,57000,55200,18408910,1032660000000.0,333114000000000.0
2022-10-11,55400,54400,55700,54000,21437877,1172170000000.0,330726000000000.0
2022-10-07,56200,55900,56900,55200,16886813,949027000000.0,335502000000000.0
2022-10-06,56300,56700,57300,56300,14944446,848082000000.0,336099000000000.0
2022-10-05,56000,56900,57200,55400,22458970,1261930000000.0,334308000000000.0
2022-10-04,55200,55300,55400,54500,19148435,1056850000000.0,329532000000000.0
2022-09-30,53100,52300,53600,51800,22503249,1187340000000.0,316995000000000.0
2022-09-29,52600,53300,53700,52600,13882080,737731000000.0,314011000000000.0
2022-09-28,52900,53900,54400,52500,19991129,1064670000000.0,315801000000000.0
2022-09-27,54200,53800,54200,53500,16631289,897144000000.0,323562000000000.0
2022-09-26,53900,53700,54200,53600,15008449,807353000000.0,321771000000000.0
2022-09-23,54500,54400,54900,54200,10555964,575504000000.0,325353000000000.0
2022-09-22,54400,54600,54700,54300,12786510,696058000000.0,324756000000000.0
2022-09-21,55300,55400,55500,55000,11863700,655017000000.0,330129000000000.0
2022-09-20,55800,56400,57000,55800,14041465,788332000000.0,333114000000000.0
2022-09-19,56400,56300,57000,56000,12278653,693637000000.0,336696000000000.0
2022-09-16,56200,55600,56400,55500,13456503,752456000000.0,335502000000000.0
2022-09-15,56000,57000,57100,56000,11664819,657642000000.0,334308000000000.0
2022-09-14,56800,56200,57200,56100,12524961,709906000000.0,339084000000000.0
2022-09-13,58100,57000,58500,56800,17166581,991016000000.0,346844000000000.0
2022-09-08,55600,56200,56400,55600,18000016,1006370000000.0,331920000000000.0
2022-09-07,56000,56700,56700,55900,17384854,975695000000.0,334308000000000.0
2022-09-06,57100,57200,57600,56900,7503086,429152000000.0,340875000000000.0
2022-09-05,57100,57400,57800,56800,11425977,653884000000.0,340875000000000.0
2022-09-02,57500,58300,58600,57500,15040310,872040000000.0,343262000000000.0
2022-09-01,58400,58700,58900,58300,14905777,872375000000.0,348635000000000.0
2022-08-31,59700,58200,59900,58200,14203512,841320000000.0,356396000000000.0
2022-08-30,58800,58700,59000,58300,9690044,567628000000.0,351023000000000.0
2022-08-29,58600,58700,58900,58600,9841329,577684000000.0,349829000000000.0
2022-08-26,60000,60300,60900,59900,9499995,573040000000.0,358187000000000.0
2022-08-25,59700,59200,59700,59000,5767902,342781000000.0,356396000000000.0
2022-08-24,59000,59200,59500,59000,8888486,525407000000.0,352217000000000.0
2022-08-23,59100,59000,59600,59000,9041629,535657000000.0,352814000000000.0
2022-08-22,60000,60300,60400,59800,8259865,495732000000.0,358187000000000.0
2022-08-19,60900,61400,61600,60600,6923679,421909000000.0,363560000000000.0
2022-08-18,61500,60300,61900,60000,16372754,997987000000.0,367142000000000.0
2022-08-17,60400,61100,61200,60300,9061518,550059000000.0,360575000000000.0
2022-08-16,61000,60500,61600,60300,15036727,917516000000.0,364157000000000.0
2022-08-12,60200,59500,60700,59400,10786658,648793000000.0,359381000000000.0
2022-08-11,59900,59600,60000,59300,15141941,903739000000.0,357590000000000.0
2022-08-10,59100,58900,59200,58600,18084349,1065590000000.0,352814000000000.0
2022-08-09,60000,60600,60700,59600,18251170,1094260000000.0,358187000000000.0
