close,start,high,low,volume,transactionPrice,capitalization
81000,77400,81300,77300,29417421,2.34E+12,4.84E+14
78300,78800,78900,77300,30339449,2.37E+12,4.67E+14
78700,79000,80100,78200,40085044,3.17E+12,4.70E+14
77800,74100,78800,74000,32502870,2.49E+12,4.64E+14
73900,72400,74000,72300,19411326,1.42E+12,4.41E+14
72300,72500,73200,72100,16304910,1.18E+12,4.32E+14
73000,73100,73400,72000,20367355,1.48E+12,4.36E+14
73000,73300,73700,73000,17613029,1.29E+12,4.36E+14
73300,73400,73700,72600,24293214,1.78E+12,4.38E+14
73800,74100,74500,73400,17512081,1.29E+12,4.41E+14
73800,73800,74100,73300,20863671,1.54E+12,4.41E+14
73800,73600,74500,73200,21510415,1.59E+12,4.41E+14
73400,73500,73800,73100,18486672,1.36E+12,4.38E+14
72900,72700,73800,72500,39882928,2.92E+12,4.35E+14
73900,72100,73900,72000,24077996,1.76E+12,4.41E+14
71700,72200,72900,71600,25000338,1.80E+12,4.28E+14
72900,72400,73500,71900,28490496,2.07E+12,4.35E+14
71500,70400,72100,70100,28130533,2.01E+12,4.27E+14
69700,70100,70500,69300,23677989,1.65E+12,4.16E+14
69500,68400,69900,68300,29703942,2.06E+12,4.15E+14
67800,67100,68300,67100,22327173,1.51E+12,4.05E+14
66700,68400,68600,66700,43811016,2.95E+12,3.98E+14
68200,68000,68400,67600,14063434,9.57E+11,4.07E+14
68000,66100,68000,66000,19023323,1.28E+12,4.06E+14
66600,67900,68300,66500,32447065,2.19E+12,3.98E+14
67700,67900,69500,67000,32158235,2.19E+12,4.04E+14
67500,64800,67800,64700,27134398,1.81E+12,4.03E+14
64700,63900,65200,63900,15068682,9.73E+11,3.86E+14
64600,64100,64800,63900,16590290,1.07E+12,3.86E+14
64800,65700,66200,64700,22963790,1.50E+12,3.87E+14
65700,67000,67000,65600,30204089,2.00E+12,3.92E+14
66300,64000,66700,63900,36354334,2.38E+12,3.96E+14
63200,61300,63200,61000,31508829,1.96E+12,3.77E+14
61000,61000,61400,60700,19800573,1.21E+12,3.64E+14
61300,60700,61400,60400,25628510,1.56E+12,3.66E+14
60200,60500,60500,59500,19073552,1.14E+12,3.59E+14
60200,60700,60900,60100,15892961,9.62E+11,3.59E+14
60100,60700,60800,59600,16910230,1.02E+12,3.59E+14
60300,59000,60300,58800,20639475,1.23E+12,3.60E+14
58500,58900,59000,57800,21718561,1.27E+12,3.49E+14
58800,57900,58900,57600,14950919,8.74E+11,3.51E+14
57400,56400,57500,56000,20489076,1.17E+12,3.43E+14
56600,58000,58000,56600,26907844,1.54E+12,3.38E+14
58100,58200,58500,57500,22636966,1.31E+12,3.47E+14
59000,59400,59400,58800,14428882,8.52E+11,3.52E+14
59800,60300,60300,59500,17260416,1.03E+12,3.57E+14
