close,start,high,low,volume,transactionPrice,capitalization
85100,87200,87300,85100,1439011,1.23373E+11,6.1953E+13
86900,86900,87200,85700,2148255,1.85805E+11,6.32634E+13
85200,86100,86700,84900,1480400,1.26639E+11,6.20258E+13
85200,85500,86600,84900,1617131,1.38259E+11,6.20258E+13
86300,87600,87700,86100,2111523,1.82764E+11,6.28266E+13
88400,88700,91500,88100,2981192,2.67106E+11,6.43554E+13
87700,82400,88500,82000,3703870,3.23609E+11,6.38458E+13
91500,92000,92400,90300,2609199,2.38678E+11,6.66122E+13
91600,91300,92100,90400,2460465,2.24723E+11,6.6685E+13
90900,93900,93900,90900,2483441,2.27841E+11,6.61754E+13
93500,95200,95300,92500,5002149,4.68889E+11,6.80682E+13
89100,89000,90800,88300,3856811,3.45586E+11,6.4865E+13
89200,88100,89200,86600,2619752,2.31597E+11,6.49378E+13
87700,87600,89000,87400,2799575,2.46892E+11,6.38458E+13
86500,85400,86800,85000,2765284,2.38246E+11,6.29722E+13
84500,82700,84600,81700,3032985,2.52334E+11,6.15162E+13
82700,82600,83500,81900,2901380,2.40312E+11,6.02058E+13
84500,84200,85500,83600,2536363,2.15008E+11,6.15162E+13
83900,82700,83900,81400,3820185,3.16974E+11,6.10794E+13
82700,84300,85400,82400,6271574,5.24947E+11,6.02058E+13
83400,87100,87800,83000,7748514,6.58734E+11,6.07154E+13
90000,95100,95100,89800,4550273,4.17479E+11,6.55202E+13
93900,93300,95500,93200,3310322,3.13156E+11,6.83594E+13
93500,91900,94800,91000,2656194,2.48751E+11,6.80682E+13
91800,92200,93100,91200,2165991,1.99716E+11,6.68306E+13
90500,89800,91400,89700,2206754,2.00306E+11,6.58842E+13
90200,91000,91800,89000,4547678,4.09444E+11,6.56658E+13
92900,94700,94900,92700,3684934,3.44616E+11,6.76314E+13
95800,95900,96200,94600,2618680,2.4933E+11,6.97426E+13
95200,94600,95300,94000,2134558,2.02198E+11,6.93058E+13
95500,96000,96600,94300,3516437,3.34829E+11,6.95242E+13
